model,loc,seconds,theme,difficulty,test
DeepSeek V4 Pro,300,114.85,3,2,3
Qwen3.6 Plus,122,190.029,3,2,3
Gemini 3.5 Flash,423,23.988,3,2,3
DeepSeek V4 Pro,300,114.85,3,2,4
Qwen3.6 Plus,122,190.029,3,2,4
Gemini 3.5 Flash,423,23.988,3,2,4
DeepSeek V4 Pro,300,114.85,3,2,5
Qwen3.6 Plus,122,190.029,3,2,5
Gemini 3.5 Flash,423,23.988,3,2,5
DeepSeek V4 Pro,267,78.68575999999999,3,3,1
Qwen3.6 Plus,345,134.04046,3,3,1
Gemini 3.5 Flash,535,45.2055,3,3,1
DeepSeek V4 Pro,267,78.686,3,3,2
Qwen3.6 Plus,345,134.04,3,3,2
Gemini 3.5 Flash,535,45.206,3,3,2
DeepSeek V4 Pro,267,78.686,3,3,3
Qwen3.6 Plus,345,134.04,3,3,3
Gemini 3.5 Flash,535,45.206,3,3,3
DeepSeek V4 Pro,267,78.686,3,3,4
Qwen3.6 Plus,345,134.04,3,3,4
Gemini 3.5 Flash,535,45.206,3,3,4
DeepSeek V4 Pro,267,78.686,3,3,5
Qwen3.6 Plus,345,134.04,3,3,5
Gemini 3.5 Flash,535,45.206,3,3,5
DeepSeek V4 Pro,53,55.03,4,1,1
Qwen3.6 Plus,61,113.456,4,1,1
Gemini 3.5 Flash,126,16.132,4,1,1
DeepSeek V4 Pro,53,55.03,4,1,2
Qwen3.6 Plus,61,113.456,4,1,2
Gemini 3.5 Flash,126,16.132,4,1,2
DeepSeek V4 Pro,53,55.03,4,1,3
Qwen3.6 Plus,61,113.456,4,1,3
Gemini 3.5 Flash,126,16.132,4,1,3
DeepSeek V4 Pro,53,55.03,4,1,4
Qwen3.6 Plus,61,113.456,4,1,4
Gemini 3.5 Flash,126,16.132,4,1,4
DeepSeek V4 Pro,53,55.03,4,1,5
Qwen3.6 Plus,61,113.456,4,1,5
Gemini 3.5 Flash,126,16.132,4,1,5
DeepSeek V4 Pro,918,224.07741000000001,4,2,1
Qwen3.6 Plus,535,102.79427,4,2,1
Gemini 3.5 Flash,405,25.26349,4,2,1
DeepSeek V4 Pro,918,224.077,4,2,2
Qwen3.6 Plus,535,102.794,4,2,2
Gemini 3.5 Flash,405,25.263,4,2,2
DeepSeek V4 Pro,918,224.077,4,2,3
Qwen3.6 Plus,535,102.794,4,2,3
Gemini 3.5 Flash,405,25.263,4,2,3
DeepSeek V4 Pro,918,224.077,4,2,4
Qwen3.6 Plus,535,102.794,4,2,4
Gemini 3.5 Flash,405,25.263,4,2,4
DeepSeek V4 Pro,918,224.077,4,2,5
Qwen3.6 Plus,535,102.794,4,2,5
Gemini 3.5 Flash,405,25.263,4,2,5
DeepSeek V4 Pro,403,511.05024,4,3,1
Qwen3.6 Plus,594,167.33717000000001,4,3,1
Gemini 3.5 Flash,738,81.45019,4,3,1
DeepSeek V4 Pro,403,511.05,4,3,2
Qwen3.6 Plus,594,167.337,4,3,2
Gemini 3.5 Flash,738,81.45,4,3,2
DeepSeek V4 Pro,403,511.05,4,3,3
Qwen3.6 Plus,594,167.337,4,3,3
Gemini 3.5 Flash,738,81.45,4,3,3
DeepSeek V4 Pro,403,511.05,4,3,4
Qwen3.6 Plus,594,167.337,4,3,4
Gemini 3.5 Flash,738,81.45,4,3,4
DeepSeek V4 Pro,403,511.05,4,3,5
Qwen3.6 Plus,594,167.337,4,3,5
Gemini 3.5 Flash,738,81.45,4,3,5
